NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,BUILDING_CLASS_PRESENT,ADDRESS,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALES,SALE_DATE
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,374,1,C7, 303 EAST 4TH STREET                       ,10009.0,8,2.0,10,"1,501","6,929",1900.0,2, C7 ,0,2013-05-02
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,385,1,C7, 17 AVENUE B                               ,10009.0,7,1.0,8,"2,093","5,852",1997.0,2, C7 ,283,2013-04-18
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,397,33,C7, 14 AVENUE B                               ,10009.0,25,2.0,27,"3,574","18,212",1925.0,2, C7 ,13185684,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,398,52,C7, 174 EAST 2ND   STREET                     ,10009.0,9,1.0,10,"2,226","5,250",1900.0,2, C7 ,0,2013-07-01
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,398,52,C7, 174 EAST 2ND   STREET                     ,10009.0,9,1.0,10,"2,226","5,250",1900.0,2, C7 ,0,2012-10-26
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,53,C7, 170 EAST 2ND   STREET                     ,10009.0,36,3.0,39,"4,452","17,664",1900.0,2, C7 ,0,2013-07-01
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,53,C7, 170 EAST 2ND STREET                       ,10009.0,36,3.0,39,"4,452","17,664",1900.0,2, C7 ,3810602,2012-10-26
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,56,C4, 203 EAST 4TH STREET                       ,10009.0,10,1.0,10,"2,404","6,975",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,57,C4, 201 EAST 4TH STREET                       ,10009.0,9,1.0,9,"2,404","6,875",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,58,C4, 199 EAST 4TH STREET                       ,10009.0,9,1.0,10,"2,404","7,110",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,60,C4, 195 EAST FOURTH STREET                    ,10009.0,18,2.0,18,"2,404","8,975",1913.0,2, C4 ,7000000,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,4,C7, 500 EAST 11 STREET                        ,10009.0,25,2.0,27,"3,020","15,162",1920.0,2, C7 ,12603963,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,10,C7, 504 EAST 12TH   STREET                    ,10009.0,28,2.0,30,"3,872","15,428",1930.0,2, C7 ,8892981,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,12,C7, 508 EAST 12TH   STREET                    ,10009.0,28,2.0,30,"3,872","15,428",1930.0,2, C7 ,9528194,2013-01-31
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,399,1,D6, 42 AVENUE A                               ,10009.0,35,5.0,40,"7,212","28,633",1995.0,2, D6 ,0,2012-06-11
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,404,48,D1, 315 EAST 10TH   STREET                    ,10009.0,12,1.0,12,"2,369","9,348",1920.0,2, D1 ,9600000,2013-07-05
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,406,48,D9, 531 EAST 12TH   STREET                    ,10009.0,26,1.0,27,"5,163","29,960",2009.0,2, D9 ,0,2012-09-13
ALPHABET CITY            ,11A CONDO-RENTALS                           ,2,377,1202,RR, 101 AVENUE D                              ,10009.0,61,1.0,62,"15,153","54,461",2010.0,2, RR ,0,2013-07-02
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,377,7,S3, 122 AVENUE C                              ,10009.0,3,1.0,4,"1,260","3,290",1910.0,2, S3 ,0,2012-12-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133,S3, 650 EAST 6TH   STREET                     ,10009.0,3,1.0,4,"1,940","4,140",1920.0,2, S3 ,2800000,2013-07-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133,S3, 650 EAST 6TH   STREET                     ,10009.0,3,1.0,4,"1,940","4,140",1920.0,2, S3 ,0,2013-07-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,391,33,S4, 137 AVENUE C                              ,10009.0,4,1.0,5,"1,500","3,540",1900.0,2, S4 ,2450000,2013-02-22
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,393,4,S4, 165 AVENUE B                              ,10009.0,4,1.0,5,"2,201","5,608",1900.0,2, S4 ,3800000,2012-04-12
ALPHABET CITY            ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,406,1101,R8, 525 EAST 12TH   STREET                    ,10009.0,0,1.0,1,0,0,2007.0,2, R8 ,0,2012-12-15
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,378,32,K1, 127 AVENUE D                              ,10009.0,0,1.0,1,"2,186","2,186",1910.0,4, K1 ,1800000,2012-12-28
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,392,39,K9, 647 EAST 9 STREET                         ,10009.0,3,1.0,4,"2,307","4,656",1950.0,4, K9 ,0,2012-12-28
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,402,3,K2, 98 AVENUE A                               ,10009.0,0,1.0,1,"8,100","16,200",1925.0,4, K2 ,15500000,2013-01-05
ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,384,33,G4, 11 AVENUE C                               ,10009.0,0,1.0,1,"5,893","1,419",1961.0,4, G4 ,7000000,2012-06-09
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,387,34,M1, 67 AVENUE C                               ,10009.0,0,1.0,1,"2,160","3,050",1951.0,4, M1 ,2400000,2013-07-18
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,10009.0,2,1.0,3,"2,139","6,440",1900.0,4, M1 ,4650000,2012-12-20
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,10009.0,2,1.0,3,"2,139","6,440",1900.0,4, M1 ,0,2012-12-14
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,10009.0,2,1.0,3,"2,139","6,440",1900.0,4, M1 ,3200000,2012-09-27
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,719,45,C5, 402 WEST 22ND   STREET                    ,10011.0,7,1.0,8,"1,026","4,788",1900.0,2, C5 ,3530000,2012-11-15
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,744,40,C4, 205 8 AVENUE                              ,10011.0,10,1.0,11,"2,500","10,800",1900.0,2, C4 ,15900000,2013-01-05
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,744,41,C4, 207 EIGHTH AVENUE                         ,10011.0,12,1.0,13,"2,500","10,800",1900.0,2, C4 ,0,2013-01-05
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,764,21,C5, 233 WEST 14TH STREET                      ,10011.0,6,2.0,8,"3,000","8,455",1920.0,2, C5 ,6800000,2012-10-17
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,770,3,C4, 202 EIGHTH AVENUE                         ,10011.0,8,1.0,9,"1,500","6,200",1901.0,2, C4 ,0,2013-02-15
CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,2,699,9,D8, 537 WEST 27TH   STREET                    ,10001.0,28,3.0,31,"7,281","34,345",2011.0,2, D8 ,27500000,2012-12-20
CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,2,764,12,D6, 245 WEST 14TH   STREET                    ,10011.0,21,1.0,22,"5,132","38,162",2009.0,2, D6 ,14500000,2012-10-18
CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,2,798,54,D7, 118 WEST 23RD   STREET                    ,10011.0,42,2.0,44,"7,406","48,539",1987.0,2, D7 ,0,2012-12-18
CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,2,800,20,D6, 135 WEST 24TH   STREET                    ,10011.0,23,1.0,24,"2,925","12,609",1901.0,2, D6 ,1911390,2012-05-10
CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,2,801,49,D5, 110 WEST 26TH   STREET                    ,10001.0,11,2.0,13,"4,090","26,027",1907.0,2, D5 ,2176160,2012-12-21
CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,2B,794,12,S5, 153 WEST 18TH   STREET                    ,10011.0,6,1.0,7,"1,553","3,800",1877.0,2, S5 ,10405882,2012-11-28
CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,2A,803,33,S9, 103 WEST 27TH   STREET                    ,10001.0,3,2.0,5,"1,668","4,796",1920.0,2, S9 ,3500000,2013-03-27
CHELSEA                  ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,767,1001,R8, 158 8 AVENUE                              ,10011.0,0,1.0,1,0,0,1920.0,2, R8 ,3300000,2012-12-09
CHELSEA                  ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,768,1501,R8, 239 WEST 18TH   STREET                    ,10011.0,0,1.0,1,0,0,1901.0,2, R8 ,0,2012-02-10
CHELSEA                  ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,768,1502,R8, 239 WEST 18TH   STREET                    ,10011.0,0,1.0,1,0,0,1901.0,2, R8 ,0,2012-02-10
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,767,12,O9, 249 WEST 17TH   STREET                    ,10011.0,0,1.0,1,"17,790","108,768",1902.0,4, O9 ,0,2013-10-06
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,767,12,O9, 249 WEST 17TH   STREET                    ,10011.0,0,1.0,1,"17,790","108,768",1902.0,4, O9 ,75750000,2012-05-11
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,767,15,O9, 245 WEST 17TH   STREET                    ,10011.0,0,1.0,1,"9,200","118,945",1909.0,4, O9 ,0,2012-05-11
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,795,44,O3, 641 AVENUE OF THE AMER                    ,10011.0,0,7.0,7,"18,491","149,885",1902.0,4, O3 ,90000000,2012-09-28
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,800,25,O9, 119 WEST 24TH   STREET                    ,10011.0,0,2.0,2,"10,709","130,876",1913.0,4, O9 ,0,2013-06-18
CHELSEA                  ,21  OFFICE BUILDINGS                        ,4,802,75,O2, 158 WEST 27TH   STREET                    ,10001.0,0,14.0,14,"8,305","108,000",1913.0,4, O2 ,56172914,2012-12-20
CHELSEA                  ,22  STORE BUILDINGS                         ,4,691,22,K9, 517 WEST 19TH   STREET                    ,10011.0,0,1.0,1,"4,600","4,500",1965.0,4, K9 ,0,2012-11-26
CHELSEA                  ,22  STORE BUILDINGS                         ,4,693,8,K1, 547 WEST 21ST   STREET                    ,10011.0,0,1.0,1,"4,938","6,287",1960.0,4, K1 ,8242000,2012-11-28
CHELSEA                  ,22  STORE BUILDINGS                         ,4,694,1,K9, 162 11TH AVENUE                           ,10011.0,0,2.0,2,"1,851","7,408",1930.0,4, K9 ,5900000,2012-12-31
CHELSEA                  ,22  STORE BUILDINGS                         ,4,698,35,K2, 285 10TH   AVENUE                         ,10001.0,0,2.0,2,"3,160","4,344",1930.0,4, K2 ,0,2012-10-26
CHELSEA                  ,22  STORE BUILDINGS                         ,4,698,54,K9, 530 WEST 27TH STREET                      ,10001.0,0,6.0,6,"3,839","22,524",1920.0,4, K9 ,0,2013-04-26
CHELSEA                  ,22  STORE BUILDINGS                         ,4,698,56,K9, 534 WEST 27TH   STREET                    ,10001.0,0,5.0,5,"1,918","11,583",1920.0,4, K9 ,0,2013-04-26
CHELSEA                  ,22  STORE BUILDINGS                         ,4,698,57,K9, 542 WEST 27TH   STREET                    ,10001.0,0,5.0,5,"9,326","49,242",1901.0,4, K9 ,0,2013-04-26
CHELSEA                  ,22  STORE BUILDINGS                         ,4,699,49,K9, 526 WEST 28TH   STREET                    ,10001.0,0,1.0,1,"19,250","35,000",1900.0,4, K9 ,30000000,2013-12-07
CHELSEA                  ,22  STORE BUILDINGS                         ,4,699,49,K9, 526 WEST 28TH   STREET                    ,10001.0,0,1.0,1,"19,250","35,000",1900.0,4, K9 ,15000000,2013-12-07
CHELSEA                  ,22  STORE BUILDINGS                         ,4,700,47,K2, 522 WEST 29TH STREET                      ,10001.0,0,4.0,4,"2,469","17,244",1932.0,4, K2 ,5300000,2013-01-04
CHELSEA                  ,22  STORE BUILDINGS                         ,4,700,48,K1, 524 WEST 29TH   STREET                    ,10001.0,0,1.0,1,"2,469","2,469",1930.0,4, K1 ,3450000,2012-11-14
CHELSEA                  ,22  STORE BUILDINGS                         ,4,700,48,K1, 524 WEST 29TH   STREET                    ,10001.0,0,1.0,1,"2,469","2,469",1930.0,4, K1 ,24688000,2012-11-14
CHELSEA                  ,22  STORE BUILDINGS                         ,4,700,49,K1, 526 WEST 29TH   STREET                    ,10001.0,0,1.0,1,"9,875","9,875",1930.0,4, K1 ,0,2012-11-14
CHELSEA                  ,22  STORE BUILDINGS                         ,4,700,59,K2, 546 WEST 29TH STREET                      ,10001.0,0,1.0,1,"2,468","2,900",1930.0,4, K2 ,3585000,2012-09-25
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,78,K9, 60 9 AVENUE                               ,10011.0,0,2.0,2,"1,717","6,235",1920.0,4, K9 ,0,2013-08-04
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,78,K9, 60 9 AVENUE                               ,10011.0,0,2.0,2,"1,717","6,235",1920.0,4, K9 ,0,2013-01-18
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,79,K9, 58 9 AVENUE                               ,10011.0,2,1.0,3,"1,692","3,842",1920.0,4, K9 ,18200000,2013-08-04
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,79,K9, 58 9 AVENUE                               ,10011.0,2,1.0,3,"1,692","3,842",1920.0,4, K9 ,0,2013-01-18
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,80,K9, 56 9 AVENUE                               ,10011.0,0,1.0,1,"1,750","3,372",1910.0,4, K9 ,0,2013-10-01
CHELSEA                  ,22  STORE BUILDINGS                         ,4,738,80,K9, 56 9 AVENUE                               ,10011.0,0,1.0,1,"1,750","3,372",1910.0,4, K9 ,0,2012-12-17
CHELSEA                  ,22  STORE BUILDINGS                         ,4,773,43,K9, 230 7 AVENUE                              ,10011.0,0,4.0,4,"1,573","5,720",1920.0,4, K9 ,4250000,2012-10-25
CHELSEA                  ,22  STORE BUILDINGS                         ,4,799,41,K4, 727 AVENUE OF THE AMER                    ,10010.0,2,2.0,4,"1,636","5,976",1894.0,4, K4 ,8150000,2013-12-07
CHELSEA                  ,22  STORE BUILDINGS                         ,4,799,41,K4, 727 AVENUE OF THE AMERIC                  ,10010.0,2,2.0,4,"1,636","5,976",1894.0,4, K4 ,0,2013-07-02
CHELSEA                  ,22  STORE BUILDINGS                         ,4,799,41,K4, 727 AVENUE OF THE AMER                    ,10010.0,2,2.0,4,"1,636","5,976",1894.0,4, K4 ,0,2012-11-15
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,693,1,L9, 144 11TH   AVENUE                         ,10011.0,0,2.0,2,"12,450","38,803",1900.0,4, L9 ,0,2012-10-15
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,693,1,L9, 144 11TH   AVENUE                         ,10011.0,0,2.0,2,"12,450","38,803",1900.0,4, L9 ,32000000,2012-10-15
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,701,28,L9, 515 WEST 29TH   STREET                    ,10001.0,0,7.0,7,"4,937","32,238",1926.0,4, L9 ,0,2012-11-28
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,712,1,L9, 450 WEST 15TH STREET                      ,10011.0,0,5.0,5,"51,625","281,361",1936.0,4, L9 ,284429879,2012-12-21
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,775,60,L1, 236 WEST 26TH STREET                      ,10001.0,0,43.0,43,"8,359","86,280",1925.0,4, L1 ,400000,2013-03-29
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,793,29,L8, 111 WEST 17TH STREET                      ,10011.0,1,4.0,5,"1,840","8,900",1920.0,4, L8 ,7250000,2012-10-16
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,794,13,L9, 145-151 WEST 18TH   STREET                ,10011.0,7,2.0,9,"6,422","25,000",1896.0,4, L9 ,0,2012-11-28
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,794,13,L9, 145 WEST 18TH   STREET                    ,10011.0,7,2.0,9,"6,422","25,000",1896.0,4, L9 ,0,2012-11-28
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,797,29,L9, 117 WEST 21ST   STREET                    ,10011.0,1,1.0,2,"4,337","18,591",1900.0,4, L9 ,12000000,2013-05-15
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,798,59,L8, 128 WEST 23RD   STREET                    ,10011.0,3,1.0,4,"2,468","7,080",1920.0,4, L8 ,4500000,2013-06-14
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,799,12,L8, 155 WEST 23RD   STREET                    ,10011.0,0,6.0,6,"5,925","68,940",1910.0,4, L8 ,0,2013-06-18
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,799,64,L1, 142 WEST 24TH   STREET                    ,10011.0,0,13.0,13,"5,555","66,050",1920.0,4, L1 ,0,2013-06-18
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,803,11,L8, 149 WEST 27TH STREET                      ,10001.0,0,1.0,1,"2,757","10,380",1910.0,4, L8 ,6000000,2013-04-15
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,803,18,L1, 129 WEST 27TH STREET                      ,10001.0,0,10.0,10,"7,406","84,745",1910.0,4, L1 ,1873007,2012-12-27
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,803,18,L1, 129 WEST 27TH STREET                      ,10001.0,0,10.0,10,"7,406","84,745",1910.0,4, L1 ,1846993,2012-12-27
CHELSEA                  ,23  LOFT BUILDINGS                          ,4,803,21,L1, 121 WEST 27TH   STREET                    ,10001.0,0,28.0,28,"9,890","113,129",1910.0,4, L1 ,10,2012-01-10
CHELSEA                  ,26  OTHER HOTELS                            ,4,802,26,H3, 121 WEST 26TH   STREET                    ,10001.0,0,1.0,1,"6,476","64,764",2006.0,4, H3 ,111421000,2013-06-06
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,695,1905,R5, 515 WEST 23RD   STREET                    ,10011.0,0,1.0,1,0,0,2008.0,4, R5 ,0,2012-09-25
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,699,1201,R5, 540 WEST 28TH   STREET                    ,10001.0,0,1.0,1,0,0,2009.0,4, R5 ,0,2012-12-20
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,699,1295,R5, 540 WEST 28TH   STREET                    ,10001.0,0,1.0,1,0,0,2009.0,4, R5 ,0,2013-03-18
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,717,1001,R5, 422 WEST 20TH   STREET                    ,10011.0,0,1.0,1,0,0,1920.0,4, R5 ,1,2013-05-15
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,723,1101,R5, 401 WEST 25TH   STREET                    ,10001.0,0,1.0,1,0,0,2011.0,4, R5 ,0,2013-05-29
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,723,1102,R5, 401 WEST 25TH   STREET                    ,10001.0,0,1.0,1,0,0,2011.0,4, R5 ,0,2013-05-29
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,794,1135,R5, 163 WEST 18TH   STREET                    ,10011.0,0,1.0,1,0,0,2006.0,4, R5 ,0,2012-12-28
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,794,1146,R5, 163 WEST 18TH   STREET                    ,10011.0,0,1.0,1,0,0,2006.0,4, R5 ,0,2012-03-12
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,794,1155,R5, 163 WEST 18TH   STREET                    ,10011.0,0,1.0,1,0,0,2006.0,4, R5 ,0,2013-06-25
CHELSEA                  ,28  COMMERCIAL CONDOS                       ,4,801,1004,R5, 137 WEST 25TH   STREET                    ,10001.0,0,1.0,1,0,0,1910.0,4, R5 ,2300000,2012-08-14
CHELSEA                  ,29  COMMERCIAL GARAGES                      ,4,696,32,G5, 239 10TH   AVENUE                         ,10001.0,0,1.0,1,"5,520","1,904",1950.0,4, G5 ,23500000,2013-07-31
CHELSEA                  ,29  COMMERCIAL GARAGES                      ,4,800,49,G1, 112-118 WEST 25TH   STREET                ,10001.0,0,1.0,1,"16,745","46,857",1928.0,4, G1 ,67500000,2013-07-08
CHELSEA                  ,30  WAREHOUSES                              ,4,691,29,E9, 153 10TH   AVENUE                         ,10011.0,0,1.0,1,"9,200","9,200",1945.0,4, E9 ,0,2012-05-12
CHELSEA                  ,30  WAREHOUSES                              ,4,712,38,E9, 404 WEST 15TH STREET                      ,10011.0,0,1.0,1,"4,450","5,698",1950.0,4, E9 ,0,2013-05-15
CHELSEA                  ,30  WAREHOUSES                              ,4,712,38,E9, 404 WEST 15TH STREET                      ,10011.0,0,1.0,1,"4,450","5,698",1950.0,4, E9 ,242000,2013-04-16
CHELSEA                  ,30  WAREHOUSES                              ,4,717,7,E9, 455 WEST 19TH STREET                      ,10011.0,0,1.0,1,"4,603","4,550",1946.0,4, E9 ,0,2012-09-27
CHELSEA                  ,30  WAREHOUSES                              ,4,794,11,E9, 155 WEST 18TH   STREET                    ,10011.0,6,6.0,12,"10,053","32,380",1930.0,4, E9 ,16622383,2012-11-28
CHELSEA                  ,33  EDUCATIONAL FACILITIES                  ,4,718,30,W7, 180 10TH   AVENUE                         ,10011.0,0,1.0,1,0,0,1931.0,4, W7 ,0,2012-09-08
CHELSEA                  ,33  EDUCATIONAL FACILITIES                  ,4,795,37,W4, 635 AVENUE OF THE AMER                    ,10011.0,0,2.0,2,"9,656","94,614",1901.0,4, W4 ,45000000,2012-09-28
CHELSEA                  ,41  TAX CLASS 4 - OTHER                     ,4,699,27,Z9, 507 WEST 27TH   STREET                    ,10001.0,0,1.0,1,"11,158",612,1950.0,4, Z9 ,0,2013-07-23
CHELSEA                  ,41  TAX CLASS 4 - OTHER                     ,4,699,27,Z9, 507 WEST 27TH   STREET                    ,10001.0,0,1.0,1,"11,158",612,1950.0,4, Z9 ,0,2012-12-17
CHELSEA                  ,41  TAX CLASS 4 - OTHER                     ,4,700,36,Z9, 327 10TH AVENUE                           ,10001.0,0,1.0,1,"2,470","1,920",1970.0,4, Z9 ,0,2012-05-10
CHINATOWN                ,02  TWO FAMILY HOMES                        ,1,281,38,S2, 53-55 DIVISION STREET                     ,10002.0,2,1.0,3,"1,708","3,619",1920.0,1, S2 ,2800000,2013-06-27
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,162,17,C7, 32 MOTT STREET                            ,10013.0,20,1.0,21,"2,296","10,202",1910.0,2, C7 ,0,2012-12-27
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,201,29,C7, 60 BAYARD STREET                          ,10013.0,20,1.0,21,"1,610","9,660",1910.0,2, C7 ,0,2012-10-19
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,237,11,C7, 146 MULBERRY STREET                       ,10013.0,15,1.0,16,"3,572","19,858",1900.0,2, C7 ,6900000,2013-07-08
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,275,1,C7, 125 MADISON STREET                        ,10002.0,15,1.0,16,"1,779","6,810",1900.0,2, C7 ,2265000,2012-12-18
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,275,1,C7, 125 MADISON STREET                        ,10002.0,15,1.0,16,"1,779","6,810",1900.0,2, C7 ,0,2012-12-18
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,277,18,C7, 109 MADISON STREET                        ,10002.0,20,2.0,22,"2,514","9,480",1900.0,2, C7 ,4500000,2012-03-08
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,303,10,C7, 83 BOWERY                                 ,10002.0,12,3.0,15,"2,923","12,665",1910.0,2, C7 ,9326496,2013-03-06
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,303,11,C7, 85 BOWERY                                 ,10002.0,16,2.0,18,"2,785","11,349",1910.0,2, C7 ,0,2013-03-06
CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,2,306,1,C7, 119 HESTER STREET                         ,10002.0,25,4.0,29,"3,392","17,025",1910.0,2, C7 ,7400000,2012-08-30
CHINATOWN                ,14  RENTALS - 4-10 UNIT                     ,2B,206,17,S5, 125 MULBERRY STREET                       ,10013.0,6,1.0,7,"2,150","7,434",1910.0,2, S5 ,9750000,2012-12-30
CHINATOWN                ,14  RENTALS - 4-10 UNIT                     ,2A,282,29,S9, 97 EAST BROADWAY                          ,10002.0,3,2.0,5,"2,417","6,105",1910.0,2, S9 ,0,2012-12-13
CHINATOWN                ,21  OFFICE BUILDINGS                        ,4,162,53,O9, 18 BOWERY                                 ,10013.0,2,5.0,7,"2,500","8,142",1905.0,4, O9 ,5380000,2012-12-28
CHINATOWN                ,21  OFFICE BUILDINGS                        ,4,200,12,O9, 202-204 CANAL STREET                      ,10013.0,0,9.0,9,"5,055","50,089",1991.0,4, O9 ,41250000,2013-07-31
CHINATOWN                ,21  OFFICE BUILDINGS                        ,4,201,13,O9, 178 CANAL STREET                          ,10013.0,0,1.0,1,"3,540","12,173",1958.0,4, O9 ,40750000,2012-03-12
CHINATOWN                ,21  OFFICE BUILDINGS                        ,4,303,7,O9, 77 BOWERY                                 ,10002.0,0,8.0,8,"4,488","31,000",1940.0,4, O9 ,20000000,2012-12-21
CHINATOWN                ,22  STORE BUILDINGS                         ,4,171,7,K9, 360 BROADWAY                              ,10013.0,5,4.0,9,"6,443","31,500",1900.0,4, K9 ,3406300,2013-05-22
CHINATOWN                ,22  STORE BUILDINGS                         ,4,208,21,K9, 245 CANAL STREET                          ,10013.0,0,5.0,5,"3,612","17,700",1907.0,4, K9 ,0,2013-10-01
CHINATOWN                ,22  STORE BUILDINGS                         ,4,208,21,K9, 245 CANAL STREET                          ,10013.0,0,5.0,5,"3,612","17,700",1907.0,4, K9 ,0,2012-10-12
CHINATOWN                ,22  STORE BUILDINGS                         ,4,279,63,K9, 5 EAST BROADWAY                           ,10038.0,0,4.0,4,"1,925","6,491",1910.0,4, K9 ,2083333,2013-02-25
CHINATOWN                ,22  STORE BUILDINGS                         ,4,281,33,K9, 70 EAST BROADWAY                          ,10002.0,1,3.0,4,793,"2,316",1900.0,4, K9 ,0,2013-05-22
CHINATOWN                ,22  STORE BUILDINGS                         ,4,304,5,K9, 103 BOWERY                                ,10002.0,4,1.0,5,"2,626","9,814",1915.0,4, K9 ,4131745,2013-03-06
